customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
00MM-B2R56,Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,74.76,4433.72,Yes
00S9-WXVZT,Male,1,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.29,382.84,Yes
00W9-LMHHO,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),49.25,434.45,Yes
0112-PLXAB,Female,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,102.52,395.42,Yes
017V-GPE6D,Male,0,No,No,44,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),74.61,3241.86,Yes
01SQ-Q6VM5,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.12,2653.87,Yes
01VO-LCTLF,Female,0,No,No,3,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),30.94,65.38,No
01XK-S00U3,Female,1,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.05,832.63,No
01YW-L6S5D,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.83,1681.09,No
01ZJ-U2HKX,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,97.01,46.96,Yes
0216-QE2CZ,Male,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,48.5,20.82,Yes
02H9-3EGZN,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.63,3298.72,Yes
02II-A92ND,Female,0,No,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,83.23,5788.92,No
02IV-2RS17,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,87.63,18.8,Yes
034P-79UVR,Male,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,76.38,3539.48,Yes
03JW-P03FF,Male,0,Yes,No,2,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,90.59,140.42,Yes
03MQ-NDRKX,Female,0,No,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.68,1479.09,Yes
03RL-KV32X,Male,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.07,1405.17,No
03TE-ZS1BQ,Female,0,No,No,36,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),63.74,2299.89,No
03YN-J0LFL,Female,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,118.75,6008.7,Yes
03ZX-BIKOR,Female,0,No,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.21,821.85,No
044F-L8UBB,Male,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.83,234.26,Yes
04I2-URP6S,Female,0,Yes,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),63.03,2438.35,Yes
053Z-BFR12,Female,0,No,No,10,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,54.49,589.89,Yes
055W-1KD0X,Female,1,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,65.73,288.12,Yes
05AD-8ISGG,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),73.34,2452.18,No
05AX-26EB1,Male,0,No,Yes,38,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,45.82,1788.46,No
05K8-T9H8G,Male,0,Yes,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.32,830.08,No
